experiment,playerID,idsubj,period,session,group,player,cont,othercont,profit,preftype,sequencePC,belief,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,u,predictedcontribution,firstcont,initialbelief,Lcont,L2cont,L3cont,Lothercont,L2othercont,L3othercont
"Fischbaer & Gächter 2010",1,101,1,1,1,1,18,11,22,1,1,18,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,18,18,,,,,,
"Fischbaer & Gächter 2010",1,101,2,1,4,1,10,3,17.2,1,1,11,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,11,18,18,18,,,11,,
"Fischbaer & Gächter 2010",1,101,3,1,4,1,15,5,17.4,1,1,15,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,18,18,10,18,,3,11,
"Fischbaer & Gächter 2010",1,101,4,1,2,1,5,10,28.6,1,1,5,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,5,18,18,15,10,18,5,3,11
"Fischbaer & Gächter 2010",1,101,5,1,1,1,20,8,17.6,1,1,17,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,18,18,5,15,10,10,5,3
"Fischbaer & Gächter 2010",1,101,6,1,2,1,10,2,16.4,1,1,10,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,10,18,18,20,5,15,8,10,5
"Fischbaer & Gächter 2010",1,101,7,1,2,1,15,7,19,1,1,16,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,18,18,10,20,5,2,8,10
"Fischbaer & Gächter 2010",1,101,8,1,4,1,15,4,15.4,1,1,14,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,20,18,18,15,10,20,7,2,8
"Fischbaer & Gächter 2010",1,101,9,1,2,1,8,7,23.2,1,1,12,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,12,18,18,15,15,10,4,7,2
"Fischbaer & Gächter 2010",1,101,10,1,6,1,15,0,11,1,1,7,0,1,2,3,4,5,6,7,8,9,10,11,12,15,20,20,20,20,20,20,20,20,7,18,18,8,15,15,7,4,7
"Fischbaer & Gächter 2010",2,102,1,1,5,2,2,2,21.6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,,,,,,
"Fischbaer & Gächter 2010",2,102,2,1,2,2,20,9,19.2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,,,2,,
"Fischbaer & Gächter 2010",2,102,3,1,2,2,0,5,26,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,20,2,,9,2,
"Fischbaer & Gächter 2010",2,102,4,1,4,2,0,6,27.2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,20,2,5,9,2
"Fischbaer & Gächter 2010",2,102,5,1,5,2,0,5,26.4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,20,6,5,9
"Fischbaer & Gächter 2010",2,102,6,1,3,2,0,7,28,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,5,6,5
"Fischbaer & Gächter 2010",2,102,7,1,1,2,0,0,20.4,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,5,6
"Fischbaer & Gächter 2010",2,102,8,1,3,2,0,8,29.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,7,5
"Fischbaer & Gächter 2010",2,102,9,1,5,2,0,1,21.6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,8,0,7
"Fischbaer & Gächter 2010",2,102,10,1,6,2,0,5,26,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,8,0
"Fischbaer & Gächter 2010",3,103,1,1,2,3,5,4,22.2,1,1,8,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,5,8,,,,,,
"Fischbaer & Gächter 2010",3,103,2,1,3,3,0,10,32,1,1,5,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,6,5,8,5,,,4,,
"Fischbaer & Gächter 2010",3,103,3,1,6,3,0,9,30.4,1,1,8,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,5,8,0,5,,10,4,
"Fischbaer & Gächter 2010",3,103,4,1,5,3,10,3,18,1,1,8,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,5,8,0,0,5,9,10,4
"Fischbaer & Gächter 2010",3,103,5,1,2,3,8,0,15.6,1,1,8,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,9,5,8,10,0,0,3,9,10
"Fischbaer & Gächter 2010",3,103,6,1,4,3,0,1,21.6,1,1,2,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,3,5,8,8,10,0,0,3,9
"Fischbaer & Gächter 2010",3,103,7,1,6,3,0,4,24.4,1,1,2,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,3,5,8,0,8,10,1,0,3
"Fischbaer & Gächter 2010",3,103,8,1,5,3,0,0,20.4,1,1,2,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,3,5,8,0,0,8,4,1,0
"Fischbaer & Gächter 2010",3,103,9,1,1,3,0,3,23.2,1,1,1,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,2,5,8,0,0,0,0,4,1
"Fischbaer & Gächter 2010",3,103,10,1,6,3,0,5,26,1,1,3,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,5,4,5,8,0,0,0,3,0,4
"Fischbaer & Gächter 2010",4,104,1,1,5,4,0,3,23.6,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,
"Fischbaer & Gächter 2010",4,104,2,1,4,4,0,6,27.2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,,3,,
"Fischbaer & Gächter 2010",4,104,3,1,3,4,0,6,27.2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,6,3,
